[2026-07-31 09:43:30.968] [剩余时间: 300秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.006] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.051] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.099] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.144] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.194] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.238] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.290] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.336] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.384] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.430] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.479] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.528] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.574] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.620] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.670] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.716] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.762] [剩余时间: 299秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.812] [剩余时间: 299秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.858] [剩余时间: 299秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.909] [剩余时间: 299秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:31.958] [剩余时间: 299秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.009] [剩余时间: 298秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.055] [剩余时间: 298秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.105] [剩余时间: 298秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.150] [剩余时间: 298秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.197] [剩余时间: 298秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.245] [剩余时间: 298秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.293] [剩余时间: 298秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.341] [剩余时间: 298秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.387] [剩余时间: 298秒] AIN1:1145, AIN2:1139, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
