[2026-07-31 10:03:03.171] [剩余时间: 300秒] AIN1:62516, AIN2:50547, AIN3:61131, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 10:03:03.210] [剩余时间: 299秒] AIN1:62516, AIN2:50547, AIN3:61131, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 10:03:03.253] [剩余时间: 299秒] AIN1:62516, AIN2:50547, AIN3:61131, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 10:03:03.302] [剩余时间: 299秒] AIN1:62516, AIN2:50547, AIN3:61131, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 10:03:03.349] [剩余时间: 299秒] AIN1:62516, AIN2:50547, AIN3:61131, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 10:03:03.399] [剩余时间: 299秒] AIN1:62516, AIN2:50547, AIN3:61131, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 10:03:03.449] [剩余时间: 299秒] AIN1:62516, AIN2:50547, AIN3:61131, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 10:03:03.494] [剩余时间: 299秒] AIN1:53670, AIN2:50547, AIN3:61428, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 10:03:03.542] [剩余时间: 299秒] AIN1:53670, AIN2:43072, AIN3:61428, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 10:03:03.594] [剩余时间: 299秒] AIN1:53670, AIN2:43072, AIN3:61428, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 10:03:03.637] [剩余时间: 299秒] AIN1:53670, AIN2:43072, AIN3:61428, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 10:03:03.687] [剩余时间: 299秒] AIN1:53670, AIN2:43072, AIN3:61428, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 10:03:03.736] [剩余时间: 299秒] AIN1:53670, AIN2:43072, AIN3:61428, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 10:03:03.782] [剩余时间: 299秒] AIN1:53670, AIN2:43072, AIN3:61428, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 10:03:03.830] [剩余时间: 299秒] AIN1:53670, AIN2:43072, AIN3:61428, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
